X,Y,t_id,art,druckzone,symbolori,hoehe,einbaujahr,druckzone_bemerkung,lagebestimmung,lagebestimmung_code,eigentuemer,bemerkung,name_nummer,art_code,dimension,zulaessiger_betriebsdruck,zustand,icon_url
7.63251665462808,46.1314599273106,"61",élément de raccordement (inconnu),Zinal,79.9,0,"1900",EP_Z_8,inconnue,"1",inconnue,,"130","0",,0,unbekannt/inconnue,./0.png
7.632551603534,46.1315877260869,"62",élément de raccordement (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"131","0",,0,unbekannt/inconnue,./0.png
7.62715203165038,46.1316854542131,"63",pièce moulée (té),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"44","14",,0,unbekannt/inconnue,./0.png
7.62807054556231,46.1319912814611,"64",pièce moulée (té),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"45","14",,0,unbekannt/inconnue,./0.png
7.62760661891101,46.1337308668212,"66",pièce moulée (té),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"51","14",,0,unbekannt/inconnue,./0.png
7.62662220872104,46.1341614117225,"67",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"52","27",,0,unbekannt/inconnue,./0.png
7.62628165146435,46.134099806319,"68",pièce moulée (té),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"53","14",,0,unbekannt/inconnue,./0.png
7.60222918598111,46.1808037858174,"69",divers (inconnu),Ayer,157.3,0,"1900",EP_Z_1,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.60254929816297,46.1800350124322,"70",divers (inconnu),Ayer,372,0,"1900",EP_Z_1,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.60241500515704,46.1826918660342,"71",divers (inconnu),Ayer,100,1549.4,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62505902849414,46.1449027276648,"72",divers (inconnu),Zinal,396.8,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.60416292986119,46.1796737100488,"73",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60322017036322,46.1802446011213,"74",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60245899055115,46.1819227240996,"75",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60181311369157,46.1816301820982,"76",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60452246511943,46.1789134441906,"77",divers (inconnu),Ayer,100,1509.31,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60475307811099,46.1790419238066,"78",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60468591077482,46.1764763167836,"79",divers (inconnu),Ayer,100,1444.69,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60559987526212,46.1786303471727,"80",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60556866041024,46.1786624443938,"81",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60554356254772,46.1786663404169,"82",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.6055128903545,46.1786683015825,"83",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.605482842887,46.1786670413984,"84",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60542039792604,46.1786710192792,"85",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.594384212224,46.2195164505021,"86",divers (inconnu),Saint-Luc,15.5,0,"1900",EP_Z_5,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.5944072301407,46.2195803223802,"87",divers (inconnu),Saint-Luc,15.5,0,"1900",EP_Z_5,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.5945272014761,46.2194856640445,"88",divers (inconnu),Saint-Luc,72.8,0,"1900",EP_Z_5,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.60651001616789,46.1784320909779,"89",divers (inconnu),Ayer,100,1562.41,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60538225236984,46.1786810604399,"90",divers (inconnu),Ayer,100,1534.76,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60620259810241,46.1731027462606,"91",divers (inconnu),Ayer,100,1472.52,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.592034641239,46.197018324025,"92",divers (inconnu),Ayer,299.6,0,"1900",EP_Z_1,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.5920328138919,46.1969704748774,"93",divers (inconnu),Ayer,205.6,0,"1900",EP_Z_1,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.59114301207725,46.2082732139762,"94",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62246157255971,46.1502749341878,"95",divers (inconnu),Zinal,122.9,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
