X,Y,t_id,einbaujahr,name_nummer,art,art_code,nennweite,typ,bemerkung,lagebestimmung,lagebestimmung_code,hoehenbestimmung,hoehenbestimmung_code,druckzone,druckzone_bemerkung,hoehe,symbolori,zustand,icon_url
7.5920513654553,46.2007116340951,"248","1900","556",vanne de vidange,"11","0.0","0",,imprécis,"2",inconnue,"1",Ayer,EP_Z_1,0,360,unbekannt/inconnue,./0.png
7.59202471038038,46.1974079872871,"249","1900","557",vanne de raccordement,"5","0.0","0",,imprécis,"2",inconnue,"1",Ayer,EP_Z_1,0,193.7,unbekannt/inconnue,./0.png
7.59204629990005,46.1970183570717,"251","1900","559",vanne de raccordement,"5","0.0","0",,imprécis,"2",inconnue,"1",Ayer,EP_Z_1,0,190,unbekannt/inconnue,./0.png
7.59204439091571,46.1969697545983,"252","1900","560",vanne de raccordement,"5","0.0","0",,imprécis,"2",inconnue,"1",Ayer,EP_Z_1,0,169.6,unbekannt/inconnue,./0.png
7.62575317227624,46.135669931031,"253","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1669.49,360,unbekannt/inconnue,./0.png
7.62575066627572,46.1356673984165,"254","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1669.48,360,unbekannt/inconnue,./0.png
7.62574979979074,46.1356599605069,"255","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1669.49,360,unbekannt/inconnue,./0.png
7.62673344593623,46.1341683142706,"256","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1674.33,360,unbekannt/inconnue,./0.png
7.62682399083733,46.134185939203,"257","1900",,vanne hydrant,"6","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1675.38,360,unbekannt/inconnue,./0.png
7.62466244616562,46.1378050020573,"258","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1665.74,360,unbekannt/inconnue,./0.png
