X,Y,t_id,name_nummer,art,typ,symbolori,hoehe,einbaujahr,eigentuemer,versorgungsdruck,fliessdruck,druckzone,druckzone_bemerkung,art_code,lagebestimmung,lagebestimmung_code,zustand,icon_url
7.5747747276597,46.2425613161006,"256"," 73",borne hydrant une sortie,,100,0,"1970",inconnue,6.5,0,Chandolin,EP_Z_2,"1",précis,"0",unbekannt/inconnue,./0.png
7.57504215214161,46.260743004605,"257",,borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Chandolin,EP_Z_2,"1",précis,"0",unbekannt/inconnue,./0.png
7.57632804600552,46.2599822255532,"258","052",borne hydrant une sortie,,100,0,"1970",inconnue,5,0,Chandolin,EP_Z_2,"1",précis,"0",unbekannt/inconnue,./0.png
7.55036907511013,46.2742627733893,"259","014",borne hydrant une sortie,,100,0,"2004",inconnue,12.5,0,Niouc,EP_Z_4,"1",précis,"0",unbekannt/inconnue,./0.png
7.58916275491326,46.2512944382553,"260","625",borne hydrant une sortie,,100,0,"1989",inconnue,11.4,0,Chandolin,EP_Z_2,"1",précis,"0",unbekannt/inconnue,./0.png
7.5923224348517,46.1867809809456,"261","258",borne hydrant une sortie,,300.8,1284.37,"1970",inconnue,9,0,Ayer,EP_Z_1,"1",précis,"0",unbekannt/inconnue,./0.png
7.59068933597362,46.2087897919966,"262","204",borne hydrant une sortie,,100,0,"2002",inconnue,10.2,0,Ayer,EP_Z_1,"1",précis,"0",unbekannt/inconnue,./0.png
7.58576338807071,46.2004513348623,"263","801",borne hydrant une sortie,,100,0,"1970",inconnue,12,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
7.58171957385366,46.2051655429172,"264","762",borne hydrant une sortie,,100,0,"1970",inconnue,11,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
7.58577581759391,46.2095120320425,"265",,borne hydrant une sortie,,100,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
7.58313172295754,46.2087644354792,"266","759",borne hydrant une sortie,,100,0,"1970",inconnue,6.6,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
7.58134780380251,46.2105947850724,"267","757",borne hydrant une sortie,,100,0,"2004",inconnue,5,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
7.58194381801248,46.2105991357068,"268","756",borne hydrant une sortie,,100,0,"1930",inconnue,6.6,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
